compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr
Li5.0 La3.0Ta2.0O12,300,7.18e-07,-6.143875556,-6.157280051,6.96e-07,0.16572258,5.823009774
Li5.5 La3.0Zr0.5Ta1.5O12,300,9.3e-05,-4.031517051,-3.555904921,0.000278,0.024981361,0.090440233
Li6.5 La2.5Zr1.0Ba0.5Ta1.0O12,300,0.00015,-3.823908741,-3.443592352,0.00036,0.04698785,0.008672176
Li6.5 La2.5Zr1.0Ba0.5Ta1.0O12,300,9e-05,-4.045757491,-4.559429754,2.76e-05,0.192383609,0.099208159
Li6.05 La2.95Zr1.0Ca0.05Ta1.0O12,300,0.000129,-3.88941029,-4.506202462,3.12e-05,0.001036166,0.025162229
Li6.0 La3.0Zr1.0Bi1.0O12,300,1.2e-05,-4.920818754,-3.935217702,0.000116,0.370231401,1.416182181
Li6.0 La3.0Zr1.0Sb1.0O12,300,0.00026,-3.585026652,-3.960597157,0.000109,0.596616657,0.02124527
Li6.0 La3.0Zr1.0Ta1.0O12,300,0.00026,-3.585026652,-3.519230933,0.000303,0.243068981,0.02124527
Li6.0 La3.0Zr1.0Ta1.0O12,300,8.3e-05,-4.080921908,-4.412456755,3.87e-05,8.27e-06,0.122596397
Li6.2 La3.0Zr1.2Sb0.8O12,300,0.00045,-3.346787486,-3.184115696,0.000654,0.682196207,0.147453495
Li6.2 La3.0Zr1.2Ta0.8O12,300,4.9e-06,-5.30980392,-5.438619439,3.64e-06,2.14231434,2.493303198
Li6.25 La3.0Zr1.25Bi0.75O12,300,0.0002,-3.698970004,-3.79472178,0.00016,0.069139218,0.001012145
Li6.3 La3.0Zr1.3Ta0.7O12,300,0.00032,-3.494850022,-3.350223981,0.000446,0.085779511,0.055664948
Li6.375 La3.0Zr1.375Nb0.625O12,300,0.00137,-2.863279433,-2.9856673,0.00103,0.739435179,0.752564563
Li6.3 La2.9Zr1.4Ca0.2Ta0.6O12,300,0.00035,-3.455931956,-3.129265903,0.000743,0.000756584,0.07554377
Li6.45 La2.95Zr1.4Ca0.05Ta0.6O12,300,0.000284,-3.54668166,-4.040086951,9.12e-05,0.003712663,0.033893754
Li6.45 La2.95Zr1.4Ca0.05Ta0.6O12,300,0.000403,-3.394694954,-3.599665745,0.000251,0.008291028,0.112955998
Li6.4 La3.0Zr1.4Sb0.6O12,300,0.00066,-3.180456064,-3.020775927,0.000953,0.517964553,0.302861084
Li6.4 La3.0Zr1.4Ta0.6O12,300,0.000326,-3.4867824,-3.441382307,0.000362,0.036469467,0.05953689
Li6.4 La3.0Zr1.4Ta0.6O12,300,0.00028,-3.552841969,-3.931890426,0.000117,0.015602567,0.031663446
Li6.4 La3.0Zr1.4Ta0.6O12,300,0.00023,-3.638272164,-3.694368994,0.000202,0.001558674,0.008558481
Li6.4 La3.0Zr1.4Ta0.6O12,300,0.000195,-3.709965389,-4.220158118,6.02e-05,0.001037689,0.000433424
Li6.87 La2.97Zr1.6Ta0.56O12,300,0.00135,-2.869666232,-2.773782492,0.00168,0.758225711,0.741524197
Li5.9 La3.0Zr1.45W0.55O12,300,0.00044,-3.356547324,-3.234618151,0.000583,0.787607732,0.140053258
Li7.07 La2.87Zr1.53Ta0.54O12,300,0.00029,-3.537602002,-3.802813258,0.000157,0.051238709,0.037319371
Li6.5 La3.0Zr1.5Bi0.5O12,300,7.2e-06,-5.142667504,-5.5822689,2.62e-06,1.797971447,1.993414395
Li6.5 La3.0Zr1.5Nb0.5O12,300,4.4e-05,-4.356547324,-5.021020671,9.53e-06,0.485267447,0.391579457
Li6.5 La3.0Zr1.5Ta0.5O12,300,0.000617,-3.209714836,-2.878824275,0.00132,0.210640233,0.271513308
Li6.5 La3.0Zr1.5Ta0.5O12,300,2e-06,-5.698970004,-5.503433051,3.14e-06,4.12211638,3.873755262
Li6.5 La3.0Zr1.5Ta0.5O12,300,0.00056,-3.251811973,-3.545847756,0.000285,0.173770969,0.229414418
Li6.5 La3.0Zr1.5Ta0.5O12,300,1.4e-08,-7.853871964,-7.658587647,2.19e-08,17.51591192,16.99985251
Li6.5 La3.0Zr1.5Ta0.5O12,300,1.1e-06,-5.958607315,-5.740846743,1.82e-06,5.24381096,4.963195722
Li6.5 La3.0Zr1.5Ta0.5O12,300,1.8e-06,-5.744727495,-5.880932938,1.32e-06,4.310012958,4.055967496
Li6.5 La3.0Zr1.5Ta0.5O12,300,1.4e-05,-4.853871964,-4.330736559,4.67e-05,1.404702688,1.26132607
Li6.5 La3.0Zr1.5Ta0.5O12,300,0.00085,-3.070581074,-2.923289439,0.00119,0.357710872,0.4358682
Li6.5 La3.0Zr1.5Ta0.5O12,300,0.00045,-3.346787486,-2.796361263,0.0016,0.103608626,0.147453495
Li7.13 La2.93Zr1.48Ta0.47O12,300,0.0001,-4.0,-4.157781474,6.95e-05,0.110270354,0.072477134
Li6.94 La3.05Zr1.54Ta0.47O12,300,0.000418,-3.378823718,-2.89170504,0.00128,0.117077354,0.123876198
Li7.11 La2.95Zr1.49Ta0.46O12,300,0.000108,-3.966576245,-3.701223129,0.000199,0.103703913,0.055597877
Li6.1 La3.0Zr1.55W0.45O12,300,0.00064,-3.193820026,-3.056155441,0.000879,0.873698249,0.288330551
Li6.8 La2.8Zr1.6Sr0.2Sb0.4O12,300,0.000172,-3.764471553,-3.839719636,0.000145,0.051031659,0.001134836
Li6.75 La2.85Zr1.6Sr0.15Sb0.4O12,300,0.000485,-3.314258261,-3.068002214,0.000855,0.056267255,0.173493878
Li6.7 La2.9Zr1.6Sr0.1Sb0.4O12,300,0.000533,-3.273272791,-3.021462466,0.000952,0.077063221,0.209316712
Li6.66 La2.94Zr1.6Sr0.06Sb0.4O12,300,0.000883,-3.054039296,-2.933499806,0.00117,0.156150367,0.457983698
Li6.62 La2.98Zr1.6Sr0.02Sb0.4O12,300,0.000363,-3.440093375,-3.447515598,0.000357,0.000809401,0.08450117
Li7.0 La3.0Zr1.6Ge0.4O12,300,4.4e-05,-4.356547324,-4.430350645,3.71e-05,0.266863205,0.391579457
Li6.6 La3.0Zr1.6Sb0.4O12,300,0.00077,-3.113509275,-3.012861375,0.000166167,0.443484075,0.381028363
Li6.6 La3.0Zr1.6Ta0.4O12,300,0.000668,-3.175223538,-3.155392252,0.000219515,0.233591099,0.308647676
Li6.6 La3.0Zr1.6Ta0.4O12,300,0.00037,-3.431798276,-3.608864689,0.000219515,0.051410072,0.089392597
Li6.6 La3.0Zr1.6Ta0.4O12,300,0.00015,-3.823908741,-4.307692657,0.000219515,0.027348088,0.008672176
Li6.6 La3.0Zr1.6Ta0.4O12,300,7.85e-05,-4.105130343,-4.390624192,0.000219515,0.199446357,0.140135016
Li6.6 La3.0Zr1.6Sb0.4O12,300,0.00011,-3.958607315,-3.320050808,0.000166167,0.032095453,0.051903361
Li6.3 La3.0Zr1.65W0.35O12,300,0.00066,-3.180456064,-3.583799476,0.000125592,0.519238235,0.302861084
Li7.0 La3.0Zr1.7Ge0.3O12,300,0.000478,-3.320572103,-3.442091964,0.000152118,0.247254722,0.168273985
Li6.4 La3.0Zr1.7Mo0.3O12,300,0.000353,-3.452225295,-3.897131362,0.000160489,0.117188762,0.077595077
Li6.4 La3.0Zr1.7W0.3O12,300,0.000789,-3.102922997,-2.854478361,0.000161164,0.475835751,0.394209721
Li6.7 La3.0Zr1.7Ta0.3O12,300,0.00103,-2.987162775,-2.262246314,0.000244923,0.38913627,0.55297286
Li6.65 La2.95Zr1.75Ga0.05Ba0.05Ta0.25O12,300,0.00072,-3.142667504,-3.164752562,0.000294341,0.150917545,0.345881277
Li6.8 La2.95Zr1.75Ba0.05Ta0.25O12,300,0.00065,-3.187086643,-2.965043345,0.000339891,0.079283919,0.29560706
Li5.9 La3.0Zr1.75Al0.2W0.25O12,300,0.00052,-3.283996656,-3.341623561,0.000319011,0.045027605,0.199619131
Li6.75 La3.0Zr1.75Ta0.25O12,300,0.00043,-3.366531544,-3.31338224,0.00025661,0.050263258,0.132680015
Li6.75 La3.0Zr1.75Bi0.25O12,300,5e-06,-5.301029996,-5.161133746,0.000174991,2.384073831,2.465671783
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.3e-06,-5.886056648,-5.721118231,0.000157172,4.336518642,4.645199219
Li6.5 La4.0Zr1.75Mo0.25O12,300,1.74e-05,-4.759450752,-4.275815412,0.000157172,0.913601525,1.058154825
Li6.5 La4.0Zr1.75Mo0.25O12,300,0.00013,-3.886056648,-3.644281668,0.000157172,0.006794861,0.024109525
Li6.75 La3.0Zr1.75Nb0.25O12,300,0.0008,-3.096910013,-2.525057017,0.00022111,0.311900641,0.401796516
Li6.5 La3.0Zr1.75W0.25O12,300,0.00049,-3.30980392,-3.120578084,0.000189285,0.170634142,0.177224417
Li6.75 La3.0Zr1.75Ta0.25O12,300,0.00069,-3.161150909,-3.262288874,0.00025661,0.184534958,0.324482114
Li6.75 La3.0Zr1.75Ta0.25O12,300,0.000655,-3.1837587,-3.377180178,0.00025661,0.165622572,0.299236925
Li5.9 La3.0Zr1.8Ga0.3Nb0.2O12,300,0.000372,-3.42945706,-3.905073569,0.000563099,0.032415068,0.09079806
Li6.05 La3.0Zr1.8Ga0.25Nb0.2O12,300,0.000504,-3.297569464,-3.207922431,0.001888227,0.329044173,0.187675029
Li6.2 La3.0Zr1.8Ga0.2Nb0.2O12,300,0.00072,-3.142667504,-2.821180413,0.002191931,0.233766791,0.345881277
Li6.35 La3.0Zr1.8Ga0.15Nb0.2O12,300,0.000739,-3.131355562,-3.315259416,0.002395833,0.260928993,0.359314722
Li6.5 La3.0Zr1.8Ga0.1Nb0.2O12,300,0.000675,-3.170696227,-2.688901275,0.001915665,0.205223224,0.313698565
Li7.1 La3.0Zr1.9Cr0.2O12,300,0.00024,-3.619788758,-4.041687348,0.000166978,0.024822337,0.012319994
Li7.2 La3.0Zr1.8Gd0.2O12,300,0.00023,-3.638272164,-3.884495319,0.000217456,0.000593238,0.008558481
Li7.0 La3.0Zr1.8Ge0.2O12,300,0.000252,-3.598599459,-3.579242071,0.000160088,0.038825762,0.017472812
Li6.6 La3.0Zr1.8Mo0.2O12,300,0.000509,-3.293282218,-3.915743077,0.000196958,0.170027058,0.191408006
Li6.8 La3.0Zr1.8Sb0.2O12,300,5.9e-05,-4.229147988,-4.224040195,0.00010562,0.063956307,0.248366441
Li6.8 La3.0Zr1.8Ta0.2O12,300,0.000129,-3.88941029,-3.975120993,0.000254812,0.087396968,0.025162229
Li6.8 La3.0Zr1.8Ta0.2O12,300,2.2e-06,-5.657577319,-6.152184745,0.000254812,4.259257276,3.712531629
Li6.8 La3.0Zr1.8Ta0.2O12,300,6.54e-05,-4.184422252,-4.033417428,0.000254812,0.34885767,0.20578746
Li6.8 La3.0Zr1.8Nb0.2O12,300,0.000357,-3.447331784,-3.618771521,0.000255191,0.021258546,0.080345286
Li6.0 La3.0Zr1.5W0.15O12,300,0.000208,-3.681936665,-3.880280224,6.6e-05,0.24844408,0.002386084
Li6.7 La3.0Zr1.85W0.15O12,300,0.00027,-3.568636236,-3.192112033,0.000186401,0.025893475,0.02629197
Li7.0 La3.0Zr1.9Ge0.1O12,300,0.000149,-3.826813732,-3.390554518,0.000164038,0.001743723,0.009221666
Li6.8 La3.0Zr1.9Mo0.1O12,300,0.000246,-3.609064893,-3.534398876,0.000150517,0.045518587,0.014815596
Li6.625 La3.0Zr1.925Al0.1Sb0.075O12,300,0.000235,-3.628932138,-3.762811305,0.000252942,0.001021026,0.010373848
Li6.7 La3.0Zr1.925Al0.075Sb0.075O12,300,0.000345,-3.462180905,-3.489999826,0.000246228,0.021456857,0.072147743
Li6.775 La3.0Zr1.925Al0.05Sb0.075O12,300,0.00041,-3.387216143,-3.70001766,0.000260254,0.038961687,0.118039027
Li6.925 La3.0Zr1.925Sb0.075O12,300,0.00034,-3.468521083,-3.427313039,0.000118016,0.211176639,0.068781955
Li6.925 La3.0Zr1.925Sb0.075O12,300,0.000265,-3.576754126,-3.562154626,0.000118016,0.123416293,0.023725271
Li7.06 La3.0Zr1.94Sm0.06O12,300,0.000246,-3.609064893,-3.469302115,0.000231991,0.000648369,0.014815596
Li7.06 La3.0Zr1.94Y0.06O12,300,0.000956,-3.019542108,-2.714033113,0.000222137,0.401748493,0.505865348
Li6.4 La2.4Zr2.0Ce0.6O12,300,1.26e-05,-4.899629455,-5.032507066,0.000169796,1.275896071,1.366199173
Li6.8 La2.6Zr2.0Ga0.2Sr0.4O12,300,3.03e-05,-4.518557371,-4.839356644,0.000203099,0.682712906,0.62058653
Li6.6 La2.6Zr2.0Ce0.4O12,300,1.44e-05,-4.841637508,-4.936870893,0.000156791,1.075283163,1.233995017
Li6.7 La2.7Zr2.0Ga0.2Sr0.3O12,300,0.000195,-3.709965389,-2.978720808,0.000186071,0.000414341,0.000433424
Li6.5 La2.8Zr2.0Ga0.3Rb0.2O12,300,0.00116,-2.935542011,-2.997479419,0.000329137,0.29929821,0.632410178
Li6.6 La2.8Zr2.0Ga0.2Sr0.2O12,300,0.000346,-3.460923901,-3.530661644,0.00022028,0.038455421,0.072824594
Li6.4 La2.85Zr2.0Ga0.3Rb0.15O12,300,0.00104,-2.982966661,-3.178969438,0.000376858,0.194353651,0.559231108
Li6.3 La2.9Zr2.0Ga0.3Rb0.1O12,300,0.00153,-2.815308569,-2.891451332,0.000417285,0.318387891,0.838095676
Li6.5 La2.9Zr2.0Ga0.2Sr0.1O12,300,0.00055,-3.259637311,-3.193076355,0.000258138,0.107919416,0.221979414
Li6.66 La2.94Zr2.0Sr0.06O12,300,3.67e-05,-4.435333936,-4.637190865,0.000171012,0.446706125,0.496390296
Li6.2 La2.95Zr2.0Ga0.3Rb0.05O12,300,0.00162,-2.790484985,-3.033617613,0.000440737,0.319603883,0.88416266
Li7.05 La2.95Zr2.0Ca0.05O12,300,8.59e-06,-5.066006836,-5.302767651,0.000219325,1.979914574,1.782819422
Li7.02 La2.98Zr2.0Ca0.02O12,300,7.09e-06,-5.149353765,-5.534582945,0.000178767,1.964594845,2.012339541
Li5.5 La3.0Zr2.0Ga0.5O12,300,5.81e-05,-4.235823868,-4.178816651,3.03e-05,0.080299939,0.255065041
Li5.8 La3.0Zr2.0Ga0.4O12,300,0.00057,-3.244125144,-3.145535544,6.73e-05,0.860327667,0.236837061
Li5.95 La3.0Zr2.0Ga0.35O12,300,0.00071,-3.148741651,-3.272339539,7.51e-05,0.951726126,0.338773557
Li6.58 La3.0Zr1.96Al0.32O12,300,0.000245,-3.610833916,-3.733122231,0.00017364,0.022354972,0.014388077
Li6.24 La3.0Zr2.0Al0.3O12,300,1.54e-05,-4.812479279,-4.657291519,0.000220989,1.338299537,1.170064191
Li6.24 La3.0Zr2.0Al0.3O12,300,2.8e-05,-4.552841969,-4.727360325,0.000220989,0.804988761,0.675778935
Li6.24 La3.0Zr2.0Al0.3O12,300,8.78e-05,-4.056505484,-3.688358759,0.000220989,0.160700905,0.106094339
Li6.24 La3.0Zr2.0Al0.3O12,300,0.000132,-3.879426069,-3.604940163,0.000220989,0.050084542,0.022094398
Li6.24 La3.0Zr2.0Al0.3O12,300,0.00021,-3.677780705,-3.409434501,0.000220989,0.00049064,0.002809373
Li6.1 La3.0Zr2.0Ga0.3O12,300,7e-05,-4.15490196,-3.972088986,0.000117695,0.050922794,0.179875853
Li6.1 La3.0Zr2.0Ga0.3O12,300,0.00112,-2.950781977,-2.843397124,0.000117695,0.957382384,0.608403506
Li6.1 La3.0Zr2.0Ga0.3O12,300,0.00112,-2.950781977,-3.018813713,0.000117695,0.957382384,0.608403506
Li6.16 La3.0Zr2.0Al0.28O12,300,1.92e-05,-4.716698771,-4.421093209,0.000194163,1.009755954,0.972027493
Li6.23 La3.0Zr1.88Al0.26O12,300,0.00025,-3.602059991,-3.468724366,0.000160796,0.036735329,0.016569928
Li6.25 La3.0Zr2.0Al0.25O12,300,9.9e-05,-4.004364805,-3.79260599,0.000240671,0.148832603,0.074846334
Li6.25 La3.0Zr2.0Al0.25O12,300,0.000441,-3.355561411,-3.306824999,0.000240671,0.069176946,0.14079216
Li6.25 La3.0Zr2.0Al0.25O12,300,0.0005,-3.301029996,-2.928028159,0.000240671,0.100835793,0.184688697
Li6.27 La3.0Zr1.96Al0.25O12,300,0.000448,-3.348721986,-3.432454339,0.000226956,0.087223555,0.145971554
Li6.15 La3.0Zr2.0Al0.25O12,300,0.000124,-3.906578315,-4.23921543,0.000163929,0.01469754,0.030903562
Li6.25 La3.0Zr2.0Al0.25O12,300,0.00011,-3.958607315,-4.276169475,0.000240671,0.115620943,0.051903361
Li6.25 La3.0Zr2.0Al0.25O12,300,0.00022,-3.657577319,-3.59510852,0.000240671,0.001521063,0.005359251
Li6.25 La3.0Zr2.0Al0.25O12,300,0.00026,-3.585026652,-3.282673514,0.000240671,0.001125593,0.02124527
Li6.25 La3.0Zr2.0Al0.25O12,300,0.00028,-3.552841969,-3.634143822,0.000240671,0.004321031,0.031663446
Li6.25 La3.0Zr2.0Ga0.25O12,300,0.00146,-2.835647144,-3.110366775,0.000265978,0.546870549,0.801270393
Li6.25 La3.0Zr2.0Ga0.25O12,300,0.0011,-2.958607315,-3.208589878,0.000265978,0.380129947,0.59625718
Li6.25 La3.0Zr2.0Ga0.25O12,300,0.00035,-3.455931956,-3.908026311,0.000265978,0.014213921,0.07554377
Li6.28 La3.0Zr2.0Al0.24O12,300,0.000354,-3.450996738,-3.260171203,0.000222602,0.040591771,0.078281038
Li6.28 La3.0Zr2.0Al0.24O12,300,0.000106,-3.974694135,-4.199466717,0.000222602,0.10382792,0.059492044
Li6.4 La3.0Zr2.0Al0.2O12,300,0.00025,-3.602059991,-3.634792241,0.000180189,0.020224482,0.016569928
Li6.4 La3.0Zr2.0Al0.2O12,300,0.000115,-3.93930216,-3.905324549,0.000180189,0.038036452,0.043479729
Li6.4 La3.0Zr2.0Al0.2O12,300,9.6e-05,-4.017728767,-4.077245589,0.000180189,0.074778168,0.08233717
Li6.4 La3.0Zr2.0Fe0.2O12,300,0.000428,-3.368556231,-3.847275837,0.000259862,0.046959346,0.131209119
Li6.4 La3.0Zr2.0Fe0.2O12,300,0.0011,-2.958607315,-2.720710771,0.000259862,0.392690182,0.59625718
Li6.4 La3.0Zr2.0Ga0.2O12,300,0.0009,-3.045757491,-3.183407072,0.000271936,0.270166532,0.469261626
Li6.23 La3.0Zr2.0Ga0.2O12,300,0.00072,-3.142667504,-3.462096463,0.000237009,0.232871366,0.345881277
Li6.91 La3.0Zr2.0Ga0.2O12,300,0.00043,-3.366531544,-3.11472735,0.000199585,0.111116098,0.132680015
Li6.79 La3.0Zr2.0Ga0.2O12,300,0.0008,-3.096910013,-3.176271243,0.000204741,0.350328264,0.401796516
Li6.55 La3.0Zr2.0Ga0.2O12,300,0.00109,-2.962573502,-3.571105038,0.00023933,0.433529082,0.590147714
Li6.28 La3.0Zr2.0Ga0.2O12,300,0.00074,-3.13076828,-2.530429199,0.000281814,0.175786207,0.360019134
Li6.3 La3.0Zr2.0Ga0.2O12,300,0.00087,-3.060480747,-2.692207804,0.000281814,0.239665264,0.449306752
Li6.4 La3.0Zr2.0Ga0.2O12,300,0.0015,-2.823908741,-3.420805535,0.000271936,0.550006474,0.822423143
Li6.4 La3.0Zr2.0Ga0.2O12,300,0.00124,-2.906578315,-2.948757778,0.000271936,0.434221217,0.679315381
Li6.4 La3.0Zr2.0Ga0.2O12,300,0.000458,-3.339134522,-3.592529986,0.000271936,0.05125625,0.15338949
Li7.05 La3.0Zr1.98Al0.16O12,300,0.000221,-3.655607726,-3.826031771,0.000153136,0.02538139,0.005651506
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.0013,-2.886056648,-2.913598169,0.000232134,0.559809152,0.713564679
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.00113,-2.946921557,-2.653454643,0.000232134,0.472434958,0.614440682
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.000458,-3.339134522,-3.332357087,0.000232134,0.087099401,0.15338949
Li6.55 La3.0Zr2.0Ga0.15O12,300,8.5e-05,-4.070581074,-4.243377818,0.000232134,0.190375557,0.115461899
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.00206,-2.68613278,-2.639853671,0.000232134,0.898946361,1.091296641
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.00047,-3.327902142,-3.646937646,0.000232134,0.093855504,0.162313972
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.0012,-2.920818754,-2.961362057,0.000232134,0.508999266,0.656044064
Li6.4 La3.0Zr2.0Ge0.15O12,300,8.05e-05,-4.09420412,-4.303094762,0.000228708,0.205649765,0.13207402
Li7.42 La3.0Zr1.97Al0.14O12,300,0.000189,-3.723538196,-3.808630432,0.000156229,0.00683923,5.25e-05
Li6.61 La3.0Zr2.0Al0.13O12,300,0.000135,-3.869666232,-3.719936398,0.000170112,0.010080314,0.019288212
Li6.91 La3.0Zr1.98Al0.13O12,300,0.000208,-3.681936665,-3.64418456,0.000184262,0.002769546,0.002386084
Li6.7 La3.0Zr2.0Al0.1O12,300,0.000141,-3.850780887,-3.976658429,0.000201393,0.023970839,0.014399199
Li6.7 La3.0Zr2.0Ga0.1O12,300,2.5e-05,-4.602059991,-3.95779545,0.000211267,0.859130019,0.759121461
Li6.7 La3.0Zr2.0Ga0.1O12,300,6e-05,-4.22184875,-4.407844366,0.000211267,0.298860583,0.241144368
Li6.6 La3.0Zr2.0Ge0.1O12,300,0.00028,-3.552841969,-3.582228202,0.000179638,0.037156231,0.031663446
Li6.85 La3.0Zr2.0Al0.05O12,300,9.9e-05,-4.004364805,-3.961666964,0.000194513,0.086032948,0.074846334
Li6.8 La3.0Zr2.0Ge0.05O12,300,2.91e-05,-4.536107011,-4.138354933,0.000170435,0.589309495,0.64854479
Li7.0 La3.0Zr2.0O12,300,0.00024,-3.619788758,-3.865999358,3.09e-06,3.572697769,0.012319994
Li7.0 La3.0Zr2.0O12,300,0.000774,-3.111259039,-3.175356295,3.09e-06,5.753703413,0.383811456
Li7.0 La3.0Zr2.0O12,300,0.000187,-3.728158393,-4.143539828,3.09e-06,3.174770252,6.89e-06
Li7.0 La3.0Zr2.0O12,300,2.6e-05,-4.585026652,-4.746669185,3.09e-06,0.855477449,0.729730125
Li7.0 La3.0Zr2.0O12,300,0.0001,-4.0,-4.099344751,3.09e-06,2.279939614,0.072477134
Li6.85 La3.09Zr2.07O12,300,0.000168,-3.774690718,-3.748197588,3.26e-06,2.930114038,0.00192778
Li7.0 La3.0Zr2.0O12,300,7.83e-06,-5.106238238,-4.625967232,3.09e-06,0.162980677,1.891873743
